1,"Syrien, Arabische Republik",27306,27146,160,25265,24972,83,18,48,"99,1%",2,225
2,Irak,6636,6567,69,1994,1679,16,65,10,"88,0%",57,183
3,Afghanistan,4949,4917,32,699,191,-,36,103,"47,2%",149,220
4,Ungeklärt,2826,2799,27,1574,1532,-,1,-,"97,4%",18,23
5,Albanien,1308,1202,106,5693,2,-,8,5,"0,3%",4838,840
6,"Iran, Islamische Republik",1087,1061,26,251,133,15,-,5,"55,0%",55,58
7,Pakistan,757,744,13,334,14,-,-,1,"4,5%",242,77
8,Eritrea,637,627,10,1934,1879,22,10,1,"97,7%",6,38
9,Staatenlos,599,594,5,436,426,-,-,-,"97,7%",7,3
10,Serbien,910,473,437,2976,-,-,-,3,"0,1%",2203,770
"Summe Top Ten",47015,46130,885,41156,30828,136,138,176,"75,7%",7577,2437
"Herkunftsländer gesamt",52103,50532,1571,49384,31160,157,194,269,"64,0%",13175,4586,
